,type,flt,from,to,tm,gate
0,D,201,06 : 20,06 : 30,국내선,13
1,D,203,06 : 45,07 : 55,국내선,3
2,D,251,06 : 50,07 : 10,국내선,
3,D,207,09 : 50,10 : 45,국내선,13
4,D,253,10 : 20,11 : 40,국내선,13
5,D,9887,11 : 00,11 : 30,국제선,34
6,D,209,11 : 15,11 : 15,국내선,1
7,D,261,12 : 15,12 : 15,국내선,2
8,D,257,12 : 50,12 : 50,국내선,13
9,D,213,12 : 55,,국내선,
10,D,215,13 : 50,,국내선,
11,D,217,14 : 45,,국내선,
12,D,219,15 : 50,,국내선,
13,D,221,16 : 55,,국내선,
14,D,223,18 : 20,18 : 20,국내선,13
15,D,225,19 : 25,,국내선,
16,D,227,19 : 45,,국내선,
17,D,229,20 : 00,,국내선,
18,D,231,20 : 20,,국내선,
19,A,222,01 : 40,01 : 40,국내선,
20,A,224,01 : 50,01 : 50,국내선,
21,A,226A,02 : 45,02 : 45,국내선,
22,A,202,09 : 15,10 : 11,국내선,
23,A,258,09 : 50,11 : 13,국내선,
24,A,206,10 : 40,10 : 40,국내선,
25,A,208,11 : 10,11 : 10,국내선,
26,A,262,11 : 40,11 : 40,국내선,
27,A,254,13 : 00,,국내선,
28,A,210,13 : 15,,국내선,
29,A,212,14 : 10,,국내선,
30,A,260,15 : 10,,국내선,
31,A,216,16 : 10,,국내선,
32,A,252,16 : 30,,국내선,
33,A,9888,17 : 10,,국제선,
34,A,218,18 : 40,,국내선,
35,A,220,19 : 05,,국내선,
36,A,222,19 : 25,,국내선,
37,A,224,19 : 45,,국내선,
38,A,226,20 : 55,,국내선,
39,A,228,21 : 35,21 : 35,국내선,
40,A,230,22 : 35,,국내선,
