,type,flt,from,to,tm,gate
0,D,621,07:47,-,T1,114
1,D,881,08:25,-,T1,128
2,D,601,08:58,-,T1,131
3,D,611,09:11,-,T1,124
4,D,931,09:48,-,T1,114
5,D,617,09:51,-,T1,102
6,D,641,10:18,-,T1,127
7,D,631,11:30,-,T1,102
8,D,9631,14:15,-,T1,130
9,D,613,14:35,-,T1,125
10,D,651,14:45,-,T1,128
11,D,615,15:25,-,T1,110
12,D,6231,15:35,-,T1,118
13,D,603,15:40,-,T1,112
14,D,643,15:50,-,T1,122
15,D,511,17:05,-,T1,131
16,D,591,18:00,-,T1,126
17,D,501,19:00,-,T1,127
18,D,503,20:35,-,T1,110
19,D,593,20:45,-,T1,118
20,D,541,20:50,-,T1,130
21,D,513,20:55,-,T1,122
22,D,595,21:45,-,T1,127
23,A,512,-,05:52,T1,114
24,A,502,-,06:43,T1,131
25,A,594,-,06:45,T1,124
26,A,542,-,07:25,T1,102
27,A,504,-,08:09,T1,114
28,A,596,-,09:04,T1,127
29,A,514,-,09:59,T1,102
30,A,634,-,12:06,T1,125
31,A,642,-,13:30,T1,118
32,A,612,-,13:50,T1,128
33,A,882,-,14:20,T1,122
34,A,602,-,14:30,T1,110
35,A,618,-,14:35,T1,112
36,A,622,-,14:35,T1,131
37,A,632,-,16:55,T1,126
38,A,932,-,18:05,T1,127
39,A,6232,-,19:30,T1,130
40,A,614,-,19:35,T1,110
41,A,652,-,19:40,T1,118
42,A,9632,-,19:55,T1,108
43,A,644,-,20:05,T1,122
44,A,616,-,20:10,T1,127
45,A,604,-,21:35,T1,124
